TIME_PERIOD,ecb_0,ecb_3m,ecb_6m,ecb_9m,ecb_1y,ecb_2y,ecb_3y,ecb_4y,ecb_5y,ecb_6y,ecb_7y,ecb_8y,ecb_9y,ecb_10y,ecb_11y,ecb_12y,ecb_13y,ecb_14y,ecb_15y,ecb_16y,ecb_17y,ecb_18y,ecb_19y,ecb_20y,ecb_21y,ecb_22y,ecb_23y,ecb_24y,ecb_25y,ecb_26y,ecb_27y,ecb_28y,ecb_29y,ecb_30y
2019-10-17,-0.548,-0.6309559308873769,-0.6457763193154911,-0.6587731684646643,-0.6698857480958442,-0.6954869015318756,-0.6935015136406069,-0.6695361669614908,-0.6298076494204299,-0.579910609644267,-0.5243745323308393,-0.4666141752630937,-0.4090550397301067,-0.3533183535963942,-0.3004084329196295,-0.2508774315481714,-0.2049594238944565,-0.1626740843864054,-0.1239038106719845,-0.08844923484313,-0.056067950361947,-0.0265006500110545,0.0005119124735371,0.0252184799489081,0.0478513653563017,0.0686235695126453,0.0877278861246346,0.1053372505614358,0.1216058205191721,0.1366704442789523,0.1506522912759889,0.1636585027257313,0.1757837769101176,0.1871118418698325
2019-10-18,-0.547,-0.6338440820705408,-0.6471314288613194,-0.658639340536739,-0.6683130002847741,-0.688731026668131,-0.6825401535560109,-0.6553072874252592,-0.6131326365373058,-0.5614694650725256,-0.504708404450791,-0.4461406774095633,-0.3880881348635432,-0.3320884254293594,-0.2790804333313859,-0.2295662878678501,-0.1837425886567283,-0.1416014557614477,-0.1030053942933628,-0.0677409491533436,-0.0355559527911162,-0.0061845120951422,0.0206369089421616,0.0451597073835401,0.0676177044436807,0.0882246215017694,0.1071734439708125,0.1246369547823871,0.1407689451009917,0.1557057727783812,0.1695680543727418,0.1824623567132677,0.1944828086545,0.2057125901552663
2019-10-21,-0.549,-0.6095840352616269,-0.6297394844230364,-0.6466561190355002,-0.6604947916159483,-0.6885392435502777,-0.6813205148900443,-0.6492606287665668,-0.601048920979518,-0.5434315414152442,-0.48137100862917,-0.4183454091683729,-0.3566707129503688,-0.2977929654352937,-0.2425309404278492,-0.1912668484768396,-0.1440903798026247,-0.1009040740060349,-0.0614982346017516,-0.02560272015914,0.0070783232896687,0.0368440076174745,0.0639828837483285,0.0887650571278479,0.111438277929263,0.1322266127899181,0.1513307265573269,0.1689291100446126,0.1851798100223922,0.2002223727352736,0.2141798195859441,0.2271605466436628,0.2392600883040896,0.2505627170935354
2019-10-22,-0.548,-0.6194829530618191,-0.6364384893924626,-0.6508027367591593,-0.6626551839901846,-0.6870855340117163,-0.6807906089609825,-0.6520306841420158,-0.6081989153462324,-0.555288507830185,-0.4978451651377282,-0.4391343359420476,-0.381380304775011,-0.3260065424401097,-0.2738465726106813,-0.2253155934107877,-0.1805433857105502,-0.1394734589433484,-0.1019347203330038,-0.0676917842639492,-0.0364792318381517,-0.0080241402684997,0.0179397520955622,0.0416637043565273,0.0633795853298186,0.0832980929990478,0.1016086310765773,0.1184801857053252,0.1340627578000337,0.1484890577703992,0.1618762751879612,0.1743278086987081,0.1859348905290563,0.1967780722656664
2019-10-23,-0.547,-0.6225349142189447,-0.6385668088056249,-0.6523446898289786,-0.6638985849891925,-0.6892220858086979,-0.6857878364940886,-0.6606795166281021,-0.6206430897900326,-0.5713391896754922,-0.5171633701465912,-0.461333019513241,-0.4060784356205782,-0.3528551036786362,-0.3025386509698942,-0.2555878595134393,-0.2121732638292193,-0.1722744470277546,-0.1357512131414018,-0.102394096652457,-0.0719591407692972,-0.0441910533799883,-0.0188379955334192,0.0043395097637579,0.0255636988432268,0.0450373751694452,0.0629434478142467,0.079445534329708,0.0946891733392791,0.1088033439304494,0.1219020958792203,0.1340861687890342,0.1454445285510743,0.1560557830099238
2019-10-24,-0.548,-0.6418041709329843,-0.655052278054796,-0.6664483191079453,-0.6759683883430041,-0.6957795420716368,-0.6895498028549061,-0.6630932711585378,-0.6224441532888223,-0.5728750535964946,-0.5185781359008401,-0.462670349639152,-0.4073372133449675,-0.354018210845731,-0.3035868307498188,-0.2565055756966892,-0.2129504730701881,-0.1729064470672749,-0.1362377195417998,-0.1027381297517435,-0.0721659906732381,-0.0442674246873009,-0.0187913505908912,0.0045014276092225,0.0258331939003264,0.0454070134205648,0.0634061860957946,0.079994789071484,0.0953188477944975,0.1095078280261261,0.1226762489044945,0.1349252921027814,0.146344333214901,0.1570123555944791
2019-10-25,-0.548,-0.6547000278258761,-0.6641524301187831,-0.6721918880869941,-0.6787394541682752,-0.6896229144774986,-0.6776763395326015,-0.6473820104543555,-0.6040040967721438,-0.5523735884908723,-0.496431030713063,-0.4391503867058253,-0.3826355045877134,-0.3282783360588817,-0.2769235923565536,-0.2290151952168901,-0.1847161233269885,-0.1440013036087548,-0.1067267294773168,-0.072679137671983,-0.0416105509771549,-0.0132614615964956,0.0126242607471414,0.0362903292607379,0.0579630530059673,0.0778490683243378,0.0961348315637955,0.1129872012120667,0.1285546482564832,0.1429687859557855,0.1563460182851468,0.168789181555391,0.1803891050763075,0.191226051049081
2019-10-28,-0.548,-0.6711575366075794,-0.6741605432631913,-0.6766444274807677,-0.678399409062417,-0.6757013588316405,-0.6556935932128329,-0.6200548572755338,-0.5725943439914869,-0.5174311373899743,-0.4581894271859625,-0.3977270333817477,-0.3381250988036677,-0.2807901987884289,-0.2265912314211391,-0.1759934837358234,-0.1291740813511732,-0.0861143531542185,-0.0466700735518519,-0.0106227737745134,0.0222841117729584,0.0523207099310263,0.0797547574529635,0.1048418088521989,0.1278197395163169,0.1489061561197242,0.168297707648217,0.1861705840977772,0.2026817096636599,0.2179702977371422,0.2321595498098281,0.2453583608581429,0.2576629490743158,0.2691583649772102
2019-10-29,-0.545,-0.6696294215813996,-0.6711251739090763,-0.6725200892875545,-0.6735457391242559,-0.6705850708257928,-0.6529161436383175,-0.6207882200644317,-0.5772048376359096,-0.5258537659930314,-0.4701480657220593,-0.4128603701820421,-0.3560557395514041,-0.3011600967122811,-0.2490776481518843,-0.2003140827331053,-0.1550862792856442,-0.1134119173759011,-0.0751786550668027,-0.0401952876792766,-0.0082281972308071,0.0209736138635048,0.0476620212657676,0.0720794578303005,0.0944529430034939,0.1149910858878466,0.1338830549540708,0.1512987955640536,0.1673899940792078,0.1822914475214732,0.196122613131932,0.208989193616949,0.2209846702292945,0.2321917340098362
2019-10-30,-0.545,-0.656526717149997,-0.6587253261902112,-0.6609204065241294,-0.6628176237779226,-0.663673282193824,-0.6497629013112842,-0.6209388953183179,-0.5800838756822415,-0.5308989519004643,-0.4768675450917925,-0.4208494163560234,-0.3649940374981231,-0.3108008455914759,-0.259234353100509,-0.2108478614260622,-0.1658948555152215,-0.1244206180054869,-0.0863333171765332,-0.0514568149910332,-0.0195684619145115,0.00957481156113,0.0362191828242635,0.060603006850546,0.0829503940599913,0.1034678826265622,0.122343168137055,0.1397451481935769,0.1558247627262037,0.1707162754760753,0.1845387610064315,0.1973976457295845,0.2093862098075283,0.2205869964485185
